시도명,시군구명,읍/면/동,설치유무,등록인구수,어린이보호구역개수,화재발생횟수,범죄총계(구),관광지개수,등록인구수총계(시군구명),인구밀도비율(구),예상범죄발생횟수
강원도,강릉시,주문진읍,1.0,17085.0,8.0,0.0,328.0,1.0,215239.0,0.07937687872550979,26.03561622196721
강원도,강릉시,성산면,0.0,3393.0,3.0,0.0,328.0,1.0,215239.0,0.015763871789034514,5.1705499468033205
강원도,강릉시,왕산면,0.0,1648.0,2.0,0.0,328.0,0.0,215239.0,0.007656604983297637,2.511366434521625
강원도,강릉시,구정면,0.0,4096.0,5.0,0.0,328.0,0.0,215239.0,0.01903000850217665,6.2418427887139405
강원도,강릉시,강동면,1.0,4690.0,3.0,0.0,328.0,0.0,215239.0,0.021789731414845824,7.14703190406943
강원도,강릉시,옥계면,0.0,3857.0,4.0,0.0,328.0,1.0,215239.0,0.017919614939671712,5.877633700212321
강원도,강릉시,사천면,0.0,4601.0,3.0,0.0,328.0,0.0,215239.0,0.021376237577762393,7.011405925506065
강원도,강릉시,연곡면,0.0,6871.0,3.0,0.0,328.0,1.0,215239.0,0.03192265342247455,10.470630322571653
강원도,강릉시,홍제동,0.0,14729.0,2.0,0.0,328.0,0.0,215239.0,0.06843090703822263,22.445337508537023
강원도,강릉시,중앙동,0.0,5425.0,0.0,0.0,328.0,0.0,215239.0,0.025204540069411214,8.267089142766878
강원도,강릉시,옥천동,0.0,3694.0,2.0,0.0,328.0,0.0,215239.0,0.01716231723804701,5.629240054079419
강원도,강릉시,교1동,0.0,27236.0,3.0,0.0,328.0,0.0,215239.0,0.126538406143868,41.5045972151887
강원도,강릉시,교2동,0.0,8284.0,4.0,0.0,328.0,0.0,215239.0,0.03848744883594516,12.623883218190013
강원도,강릉시,포남1동,0.0,11184.0,3.0,0.0,328.0,0.0,215239.0,0.05196084352742765,17.04315667699627
강원도,강릉시,포남2동,0.0,14191.0,4.0,0.0,328.0,0.0,215239.0,0.06593136002304414,21.62548608755848
강원도,강릉시,초당동,0.0,5146.0,1.0,0.0,328.0,0.0,215239.0,0.023908306580127207,7.841924558281724
강원도,강릉시,송정동,0.0,7093.0,2.0,0.0,328.0,0.0,215239.0,0.032954065016098384,10.80893332528027
강원도,강릉시,내곡동,0.0,16059.0,2.0,0.0,328.0,0.0,215239.0,0.07461008460362667,24.472107749989547
강원도,강릉시,강남동,0.0,19111.0,0.0,0.0,328.0,0.0,215239.0,0.08878967101686962,29.123012093533234
강원도,강릉시,성덕동,0.0,29100.0,0.0,0.0,328.0,0.0,215239.0,0.1351985467317726,44.34512332802141
강원도,강릉시,경포동,0.0,7746.0,0.0,0.0,328.0,0.0,215239.0,0.03598790182076668,11.80403179721147
강원도,고성군,간성읍,0.0,7408.0,4.0,0.0,2114.0,0.0,29118.0,0.2544130778212789,537.8292465141836
강원도,고성군,거진읍,0.0,6911.0,2.0,0.0,2114.0,2.0,29118.0,0.23734459784325845,501.74647984064836
강원도,고성군,현내면,0.0,2528.0,1.0,0.0,2114.0,2.0,29118.0,0.08681914966687272,183.53568239576893
강원도,고성군,죽왕면,0.0,4004.0,2.0,0.0,2114.0,1.0,29118.0,0.13750944432996773,290.6949653135518
강원도,고성군,토성면,0.0,8267.0,3.0,0.0,2114.0,0.0,29118.0,0.28391373033862216,600.1936259358472
강원도,동해시,천곡동,0.0,30768.0,11.0,0.0,190.0,0.0,92137.0,0.33393750610503925,63.44812615995746
강원도,동해시,송정동,0.0,4575.0,2.0,0.0,190.0,0.0,92137.0,0.049654319111757494,9.434320631233923
강원도,동해시,북삼동,0.0,20554.0,0.0,0.0,190.0,0.0,92137.0,0.22308084699957673,42.38536092991958
강원도,동해시,부곡동,0.0,5691.0,2.0,0.0,190.0,0.0,92137.0,0.06176671695410096,11.735676221279181
강원도,동해시,동호동,0.0,4982.0,0.0,0.0,190.0,0.0,92137.0,0.05407165416716411,10.27361429176118
강원도,동해시,발한동,0.0,4019.0,5.0,0.0,190.0,0.0,92137.0,0.04361982699675483,8.287767129383418
강원도,동해시,묵호동,0.0,3668.0,0.0,0.0,190.0,0.0,92137.0,0.03981028251408229,7.563953677675635
강원도,동해시,북평동,0.0,10651.0,2.0,0.0,190.0,0.0,92137.0,0.11559959625340525,21.963923288146997
강원도,동해시,망상동,0.0,4035.0,2.0,0.0,190.0,1.0,92137.0,0.043793481446107424,8.32076147476041
강원도,동해시,삼화동,0.0,3194.0,0.0,0.0,190.0,1.0,92137.0,0.03466576945201168,6.586496195882218
강원도,삼척시,도계읍,0.0,11507.0,5.0,0.0,724.0,0.0,69115.0,0.16649063155610214,120.53921724661795
